"""Thank you"" note","""Thank you"" note"
"Additional content at the bottom of success page","Additional content at the bottom of success page"
"Additional Info","Additional Info"
"Additional mockup settings","Additional mockup settings"
"Blocks available on Success Page","Blocks available on Success Page"
"Checkout Success Page","Checkout Success Page"
"CMS Block #1","CMS Block #1"
"CMS Block #2","CMS Block #2"
"CMS Block #3","CMS Block #3"
"CMS Block #4","CMS Block #4"
"Cms blocks for additional content","Cms blocks for additional content"
"Create account for next time","Create account for next time"
"Create Account","Create Account"
"Customer with email %s aleady exists.","Customer with email %s aleady exists."
"Drop one of available blocks here. It is mockup of Success Page content and it consists of four sections: top, bottom, middle left and middle right.","Drop one of available blocks here. It is mockup of Success Page content and it consists of four sections: top, bottom, middle left and middle right."
"Failed to save customer billing address.","Failed to save customer billing address."
"Failed to save customer shipping address.","Failed to save customer shipping address."
"Failed to update order with customer ID.","Failed to update order with customer ID."
"Grab one of blocks and drag it to ""Mockup of Success Page"" field.","Grab one of blocks and drag it to ""Mockup of Success Page"" field."
"Great, now you are registered", "Great, now you are registered"
"Input order number here and press button to start preview","Input order number here and press button to start preview"
"Mockup of Success Page","Mockup of Success Page"
"Mockup","Mockup"
"New customer %s successfully created.","New customer %s successfully created."
"Ooops, something went wrong", "Ooops, something went wrong"
"Order # to preview","Order # to preview"
"Order Details","Order Details"
"Preview Checkout Success Page","Preview Checkout Success Page"
"Quick Registration","Quick Registration"
"Recurr. Profile schedule","Recurr. Profile schedule"
"Save and Start Preview","Save and Start Preview"
"Shipping & Payment Info","Shipping & Payment Info"
"Something went wrong... We can not find order.","Something went wrong... We can not find order."
"Sorry, but we can not create new customer.","Sorry, but we can not create new customer."
"Success Page","Success Page"
"Thank you for your purchase!","Thank you for your purchase!"
"Unfortunately, we can not find order to preview success page... :(", "Unfortunately, we can not find order to preview success page... :("
"Your order # is: %s.", "Your order # is: %s."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.", "Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Payment profile # %s: ""%s"".", "Payment profile # %s: ""%s""."
